Code Smell,Project,Package,Class,Method,IsSmell,SeverityLevel,Severity,ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,AMW_type,ATFD_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_type,NIM_type,NOA_type,NOCS_package,NOCS_project,NOMNAMM_project,NOMNAMM_type,NOM_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,NOM_type,AMWNAMM_type,NOCS_type,NOM_package,NOMNAMM_package,LOCNAMM_package,LOC_project,LOCNAMM_project,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Feature Envy,UpdateVersionStamp,UpdateVersionStamp,Program,Main(string[] _args),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,5,2.3055555555555554,0,0,2
Feature Envy,Duplicati.CommandLine,Duplicati.CommandLine,Program,CheckForUpdates(TextWriter outwriter),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,49,4,70,0,0,0,0,0,7,0,0,62,41,0,0,0,0,1,4,2.6666666666666665,0,0,1
Feature Envy,Duplicati.Library.AutoUpdater,Duplicati.Library.AutoUpdater,UpdaterManager,"DownloadAndUnpackUpdate(UpdateInfo version, Action<double> progress = null)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,6,9,2,27,0,0,0,0,0,15,0,0,27,9,0,0,0,0,2,5,2.8688524590163933,4,0,15
Feature Envy,Duplicati.Library.AutoUpdater,Duplicati.Library.AutoUpdater,UpdaterManager,"CreateUpdatePackage(System.Security.Cryptography.RSACryptoServiceProvider key, string inputfolder, string outputfolder, string manifest = null)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,6,9,2,27,0,0,0,0,0,15,0,0,27,9,0,0,0,0,4,5,2.7777777777777777,0,0,15
Feature Envy,Duplicati.Library.Backend.GoogleServices,Duplicati.Library.Backend.GoogleDrive,GoogleDrive,"PutAsync(string remotename, System.IO.Stream stream, CancellationToken cancelToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,24,41,5,60,0,0,0,0,0,16,0,0,16,5,0,0,0,0,3,3,2.2,2,1,8
Feature Envy,Duplicati.Library.Backend.GoogleServices,Duplicati.Library.Backend.GoogleDrive,GoogleDrive,"PutAsync(string remotename, string filename, CancellationToken cancelToken)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,24,41,5,60,0,0,0,0,0,16,0,0,16,5,0,0,0,0,3,4,4,1,1,8
Feature Envy,Duplicati.Library.Backend.GoogleServices,Duplicati.Library.Backend.WebApi,GoogleCloudStorage,PutUrl(string bucketId),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,24,41,9,60,0,0,0,0,0,9,0,0,22,22,0,0,0,0,1,2,2,0,0,0
Feature Envy,Duplicati.Library.Backend.S3,Duplicati.Library.Backend,S3Config,"Execute(IDictionary<string, string> options)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,18,0,46,0,0,0,0,0,1,0,0,39,11,0,0,0,0,1,2,2,0,0,3
Feature Envy,Duplicati.Library.Backend.TahoeLAFS,Duplicati.Library.Backend,TahoeBackend,List(),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,13,9,17,0,0,0,0,0,13,0,0,16,12,0,0,0,0,0,3,2.3333333333333335,1,0,3
Feature Envy,Duplicati.Library.Main,Duplicati.Library.Main.Operation,BackupHandler,"CompactIfRequired(BackendManager backend, long lastVolumeSize)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,200,328,3,931,0,0,0,0,0,12,0,0,98,39,0,0,0,0,2,3,2.5,0,4,8
